,symbol,date,open,high,low,close,volume
0,DECK,09-11-2025,114.93,118.26,114.72,117.87,1864807
1,DECK,09-10-2025,115.13,116.15,113.533,114.13,1712269
2,DECK,09-09-2025,116.5,116.955,114.79,115.41,1888962
3,DECK,09-08-2025,119.695,119.902,116.065,117.17,3721165
4,DECK,09-05-2025,122.93,124.88,120.3,120.4,2193640
5,DECK,09-04-2025,123.3,124.46,121.5101,123.91,2872919
6,DECK,09-03-2025,123.21,125.45,122.74,123.67,3034694
7,DECK,09-02-2025,118.76,123.3112,118.4548,122.88,3265343
8,DECK,08-29-2025,118.36,121.1,118.25,119.63,2665075
9,DECK,08-28-2025,117.43,118.44,116.23,118.14,2354515
10,DECK,08-27-2025,114.09,117.2,113.595,116.73,2715771
11,DECK,08-26-2025,113.51,114.72,113.1,113.69,3016984
12,DECK,08-25-2025,108.88,113.185,108.655,113.03,3481042
13,DECK,08-22-2025,105.17,109.16,104.9,109.1,2457059
14,DECK,08-21-2025,103.55,104.92,102.5,104.69,1419869
15,DECK,08-20-2025,105.0,106.25,103.29,104.05,3137479
16,DECK,08-19-2025,106.05,106.99,105.01,105.52,1707957
17,DECK,08-18-2025,103.17,106.23,102.86,105.58,2658770
18,DECK,08-15-2025,104.005,105.17,102.6,102.96,2657491
19,DECK,08-14-2025,104.11,104.35,102.07,103.86,2471885
20,DECK,08-13-2025,104.12,106.83,103.87,106.48,2222682
21,DECK,08-12-2025,102.52,103.7899,101.1601,103.74,2426479
22,DECK,08-11-2025,102.0,102.42,99.18,100.47,2485784
23,DECK,08-08-2025,101.5,102.1723,99.9,101.68,2253746
24,DECK,08-07-2025,105.43,105.49,100.82,101.89,3316090
25,DECK,08-06-2025,105.75,108.16,105.44,105.72,1723377
26,DECK,08-05-2025,105.01,106.37,104.695,105.91,2193574
27,DECK,08-04-2025,103.3,105.33,103.3,105.13,2372241
28,DECK,08-01-2025,103.97,104.55,102.3118,103.35,2980261
29,DECK,07-31-2025,110.31,110.4691,105.68,106.17,3706843
0,MMM,Sep-11-2025,153.79,159.5,153.4,159.47,3663300
1,MMM,Sep-10-2025,153.16,155.21,152.46,153.57,2811600
2,MMM,Sep-9-2025,154.15,154.15,151.55,153.08,1669200
3,MMM,Sep-8-2025,154.61,154.98,152.0,154.0,2715500
4,MMM,Sep-5-2025,155.8,157.56,154.28,155.3,2053300
5,MMM,Sep-4-2025,152.2,155.6,152.02,155.52,2741200
6,MMM,Sep-3-2025,153.5,154.09,150.43,152.0,3964400
7,MMM,Sep-2-2025,153.95,154.49,151.7,154.27,2745100
8,MMM,Aug-29-2025,157.6,158.24,155.32,155.53,3279100
9,MMM,Aug-28-2025,157.76,158.47,156.58,157.56,2982200
10,MMM,Aug-27-2025,156.04,157.22,155.75,156.53,2155000
11,MMM,Aug-26-2025,155.76,156.72,154.58,156.57,2960600
12,MMM,Aug-25-2025,157.59,157.92,155.8,155.85,1606300
13,MMM,Aug-22-2025,155.75,159.11,155.0,158.72,1958200
14,MMM,Aug-21-2025,154.37,155.21,153.15,154.38,2236900
15,MMM,Aug-20-2025,154.12,155.34,153.17,154.75,3258200
16,MMM,Aug-19-2025,152.84,155.72,152.05,154.34,2146200
17,MMM,Aug-18-2025,152.36,155.43,152.19,152.86,2585500
18,MMM,Aug-15-2025,157.37,157.37,151.61,152.39,3921100
19,MMM,Aug-14-2025,159.6,160.07,156.63,156.65,6344900
20,MMM,Aug-13-2025,158.39,160.47,156.62,160.2,3132000
21,MMM,Aug-12-2025,155.79,158.46,155.61,157.85,2748200
22,MMM,Aug-11-2025,153.75,155.61,153.16,155.31,3354500
23,MMM,Aug-8-2025,152.4,153.69,151.42,153.3,2376400
24,MMM,Aug-7-2025,151.98,152.48,149.98,151.74,2293900
25,MMM,Aug-6-2025,150.27,151.39,148.64,150.82,2636900
26,MMM,Aug-5-2025,148.46,151.22,148.0,150.09,3743900
27,MMM,Aug-4-2025,145.39,148.18,145.0,147.87,3641300
28,MMM,Aug-1-2025,146.5,146.72,144.25,144.41,4074400
29,MMM,Jul-31-2025,146.19,149.56,145.56,149.22,4390400
0,DE,09-11-2025,471.5,478.615,471.085,476.46,1368721
1,DE,09-10-2025,473.66,479.49,471.22,471.35,1347449
2,DE,09-09-2025,479.92,483.38,469.8,475.6,1204470
3,DE,09-08-2025,473.87,481.74,471.0505,481.51,1271522
4,DE,09-05-2025,475.34,478.39,470.24,473.26,1262439
5,DE,09-04-2025,470.08,474.9,466.96,474.9,1487091
6,DE,09-03-2025,475.21,477.8439,466.76,469.52,1515353
7,DE,09-02-2025,472.92,481.8899,470.85,476.78,1601072
8,DE,08-29-2025,484.82,487.79,474.62,478.64,1535073
9,DE,08-28-2025,495.0,495.0,489.61,491.44,1120391
10,DE,08-27-2025,486.1,493.66,485.46,493.08,912641
11,DE,08-26-2025,488.01,490.3813,480.01,487.76,1502914
