security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
Amphenol,APH,86.218,71.15,65.75,70.93,76.43,54.77,79.39,Information Technology,8.21,up
Supermicro,SMCI,19.526,32.9,30.58,32.62,34.99,17.25,101.4,Information Technology,7.59,up
Palantir Technologies,PLTR,236.459,100.82,93.99,97.83,103.62,20.5,125.41,Information Technology,7.27,up
Vistra Corp.,VST,40.819,120.0,112.63,118.33,125.58,66.5,199.84,Utilities,6.54,up
Boeing,BA,129.692,172.37,162.52,169.91,176.58,128.88,196.95,Industrials,6.06,up
Dell Technologies,DELL,62.22,89.16,84.08,88.59,91.86,66.25,179.7,Information Technology,6.04,up
ServiceNow,NOW,168.231,812.7,766.83,807.0,833.46,637.99,1198.09,Information Technology,5.98,up
Wabtec,WAB,31.109,181.97,171.76,179.79,191.74,147.66,210.88,Industrials,5.94,up
RTX Corporation,RTX,160.585,120.28,113.75,117.49,122.58,99.07,136.17,Industrials,5.74,up
Intel,INTC,89.785,20.59,19.51,20.31,21.03,17.67,37.16,Information Technology,5.54,up
"Tesla, Inc.",TSLA,806.51,250.74,237.97,244.43,259.44,157.51,488.54,Consumer Discretionary,5.37,up
GE HealthCare,GEHC,29.709,64.89,61.65,64.3,67.07,57.65,94.8,Health Care,5.26,up
Lam Research,LRCX,85.659,66.73,63.48,66.34,68.01,56.32,113.0,Information Technology,5.12,up
Monolithic Power Systems,MPWR,25.703,536.97,511.82,532.79,553.98,438.86,959.64,Information Technology,4.91,up
Advanced Micro Devices,AMD,146.85,90.39,86.26,90.13,93.74,76.48,187.28,Information Technology,4.79,up
Warner Bros. Discovery,WBD,20.448,8.33,7.95,8.3,8.77,6.64,12.7,Communication Services,4.78,up
Quanta Services,PWR,40.67,274.31,261.85,273.76,284.55,227.08,365.88,Industrials,4.76,up
CrowdStrike,CRWD,95.617,385.75,368.45,383.02,396.1,200.81,455.59,Information Technology,4.7,up
GoDaddy,GDDY,25.163,178.01,170.19,174.51,179.38,120.59,216.0,Information Technology,4.59,up
Constellation Energy,CEG,65.732,209.8,200.88,208.32,217.33,155.6,352.0,Utilities,4.44,up
